ds,yhat
2019-05-10,43.01250475081876
2019-05-11,42.790847779470255
2019-05-12,42.58010671789801
2019-05-13,42.38226904831784
2019-05-14,42.38518551842848
2019-05-15,42.241818642906516
2019-05-16,42.136023038515035
2019-05-17,42.07895012910325
2019-05-18,41.9592541608276
2019-05-19,41.85582187598458
2019-05-20,41.769154463987064
2019-05-21,41.885482405184156
2019-05-22,41.85605062479655
2019-05-23,41.8629389478535
2019-05-24,41.91550924818683
2019-05-25,41.9006550139544
2019-05-26,41.89557442246717
2019-05-27,41.89919428743365
2019-05-28,42.09632427686956
2019-05-29,42.13697767605893
2019-05-30,42.20222265223262
2019-05-31,42.300654519319195
2019-06-01,42.318663996517685
2019-06-02,42.33322201216057
2019-06-03,42.34330807778524
2019-06-04,42.53406150521703
2019-06-05,42.55609183145113
2019-06-06,42.59131271105614
2019-06-07,42.649390280460885
2019-06-08,42.61798168125802
2019-06-09,42.57548515355079
2019-06-10,42.522429724026885
2019-06-11,42.64558487142488
2019-06-12,42.597227721007386
2019-06-13,42.560933256177854
2019-06-14,42.547979785313615
2019-06-15,42.44754655357839
2019-06-16,42.33942604714053
2019-06-17,42.225380051636826
2019-06-18,42.29322075559054
2019-06-19,42.19605520350888
2019-06-20,42.11805916392861
2019-06-21,42.07087303595197
2019-06-22,41.94379686798584
2019-06-23,41.81650701475578
2019-06-24,41.69042327012278
2019-06-25,41.752807347547375
2019-06-26,41.65603041362755
2019-06-27,41.583374979679746
2019-06-28,41.545462877666544
2019-06-29,41.43048538798317
2019-06-30,41.316956961049534
2019-07-01,41.2051202412563
2019-07-02,41.28108212545931
2019-07-03,41.19611744533569
2019-07-04,41.13250451917058
2019-07-05,41.09998332793222
2019-07-06,40.98601152791637
2019-07-07,40.868539027440576
2019-07-08,40.74742828249141
2019-07-09,40.80859966572807
2019-07-10,40.703338305759935
2019-07-11,40.61412663915709
2019-07-12,40.55109361425281
2019-07-13,40.40225612298347
2019-07-14,40.24627391889917
2019-07-15,40.083845855676586
2019-07-16,40.10182760632859
2019-07-17,39.95250816682934
2019-07-18,39.81941036119637
2019-07-19,39.713707311653124
2019-07-20,39.524431471266006
2019-07-21,39.33119848477061
2019-07-22,39.135574662155456
2019-07-23,39.12516909356214
2019-07-24,38.95288846840135
2019-07-25,38.80272044751446
2019-07-26,38.68613802522958
2019-07-27,38.49230180145154
2019-07-28,38.30078257187268
2019-07-29,38.112932992913755
2019-07-30,38.115989149831066
2019-07-31,37.962339727060765
2019-08-01,37.83532811498963
2019-08-02,37.74567924201719
2019-08-03,37.58172729227377
2019-08-04,37.422165870379075
2019-08-05,37.267448463640804
2019-08-06,37.30391909352216
2019-08-07,37.183109918284565
2019-08-08,37.087570212970725
2019-08-09,37.0273176652367
2019-08-10,36.890087381330424
2019-08-11,36.754099505516336
2019-08-12,36.61947277348024
2019-08-13,36.67236350590713
2019-08-14,36.56426657408725
2019-08-15,36.477842695673864
2019-08-16,36.42336309424039
2019-08-17,36.28894717131027
2019-08-18,36.15331449873299
2019-08-19,36.01717899300951
2019-08-20,36.067365437231565
2019-08-21,35.95608563870491
2019-08-22,35.866739408552995
2019-08-23,35.81033227020408
2019-08-24,35.67568643543866
2019-08-25,35.542167233993624
2019-08-26,35.41105369620804
2019-08-27,35.46963422526234
2019-08-28,35.37046532620987
2019-08-29,35.29715914387745
2019-08-30,35.26079215095343
2019-08-31,35.15011181430699
2019-09-01,35.04426356077124
2019-09-02,34.94416671896032
2019-09-03,35.03662019358221
2019-09-04,34.97357550831445
2019-09-05,34.937942498034325
2019-09-06,34.940019395805194
2019-09-07,34.86772344151465
2019-09-08,34.79934354993603
2019-09-09,34.73494287451568
2019-09-10,34.86049115362956
2019-09-11,34.82716360458622
2019-09-12,34.81717080265146
2019-09-13,34.84021050184916
2019-09-14,34.783716816412536
2019-09-15,34.72562769652846
2019-09-16,34.66579805428722
2019-09-17,34.79013808590691
2019-09-18,34.74991336587011
2019-09-19,34.72757111828345
2019-09-20,34.73318374917477
2019-09-21,34.65468534085763
2019-09-22,34.57069643817954
2019-09-23,34.48169520575711
2019-09-24,34.574354854241484
2019-09-25,34.50074500360623
2019-09-26,34.444132062894255
2019-09-27,34.41539661874516
2019-09-28,34.30324442124904
2019-09-29,34.18693319846726
2019-09-30,34.067644038595
2019-10-01,34.132578308309625
2019-10-02,34.034218097487525
2019-10-03,33.956115954623115
2019-10-04,33.90930625425912
2019-10-05,33.78251501060392
2019-10-06,33.65489042951828
2019-10-07,33.52738283005296
2019-10-08,33.58685462940344
2019-10-09,33.48535794716282
2019-10-10,33.40594501177305
2019-10-11,33.359102999555255
2019-10-12,33.23298930207818
2019-10-13,33.10618861404783
2019-10-14,32.97911952023783
2019-10-15,33.03817030112703
2019-10-16,32.93500054962137
2019-10-17,32.85237286148517
2019-10-18,32.80060538432405
2019-10-19,32.66782047984172
2019-10-20,32.532710281808725
2019-10-21,32.3959463728569
2019-10-22,32.44431301723286
2019-10-23,32.33000044539947
2019-10-24,32.23642255026111
2019-10-25,32.17465007199443
2019-10-26,32.03363500859698
2019-10-27,31.892947696187573
2019-10-28,31.754154606047482
2019-10-29,31.804917259180442
2019-10-30,31.698249830291715
2019-10-31,31.61830095769891
2019-11-01,31.57675203881644
2019-11-02,31.463008959731905
2019-11-03,31.3569098848643
2019-11-04,31.26007826796215
2019-11-05,31.360002494766533
2019-11-06,31.309280599438107
2019-11-07,31.291396270937472
2019-11-08,31.31711893146945
2019-11-09,31.274705119547384
2019-11-10,31.242623854168066
2019-11-11,31.220934949999204
2019-11-12,31.395401259497646
2019-11-13,31.416772612749877
2019-11-14,31.46660677645028
2019-11-15,31.55371911636661
2019-11-16,31.564436922155004
2019-11-17,31.575379654321427
2019-11-18,31.584892561576282
2019-11-19,31.777213059840523
2019-11-20,31.801806040936246
2019-11-21,31.839231857951344
2019-11-22,31.89763717226115
2019-11-23,31.863043242316696
2019-11-24,31.812151699056596
2019-11-25,31.74379424431014
2019-11-26,31.84310488908334
2019-11-27,31.760850391082503
2019-11-28,31.696288803377506
2019-11-29,31.642614464825346
2019-11-30,31.488228262737973
2019-12-01,31.312490032883993
2019-12-02,31.117112442545395
2019-12-03,31.090269832532176
2019-12-04,30.885859163793036
2019-12-05,30.689278284795634
2019-12-06,30.51381363634058
2019-12-07,30.250814325342517
2019-12-08,29.98237532808225
2019-12-09,29.712659272324462
2019-12-10,29.631938648957032
2019-12-11,29.3957974827338
2019-12-12,29.190859404307574
2019-12-13,29.03113575797376
2019-12-14,28.80817194078171
2019-12-15,28.603715704855453
2019-12-16,28.42103751909058
2019-12-17,28.448985139845174
2019-12-18,28.341211357174043
2019-12-19,28.281941429390375
2019-12-20,28.28237305014149
2019-12-21,28.230885908130247
2019-12-22,28.20578311560766
2019-12-23,28.20669286025034
2019-12-24,28.418710445073604
2019-12-25,28.491717504343036
2019-12-26,28.606242591644893
2019-12-27,28.769953589792177
2019-12-28,28.86795659323703
2019-12-29,28.975621178919866
2019-12-30,29.090058172778445
2019-12-31,29.394328003356925
2020-01-01,29.536814588710573
2020-01-02,29.697127394208064
2020-01-03,29.882620880183648
2020-01-04,29.978705123592807
2020-01-05,30.06166705419045
2020-01-06,30.1301283448698
2020-01-07,30.369218393800494
2020-01-08,30.42989809948062
2020-01-09,30.49479821389622
2020-01-10,30.574663006402897
2020-01-11,30.55857486551578
2020-01-12,30.526681405863727
2020-01-13,30.48155347678487
2020-01-14,30.612255036951083
2020-01-15,30.573563227799063
2020-01-16,30.551705099175027
2020-01-17,30.560704354885967
2020-01-18,30.492516278020446
2020-01-19,30.429674766610056
2020-01-20,30.376582007194255
2020-01-21,30.523523592547214
2020-01-22,30.525848919275738
2020-01-23,30.56968444177518
2020-01-24,30.668273862360792
2020-01-25,30.712123698203712
2020-01-26,30.781677995978146
2020-01-27,30.878652124149994
2020-01-28,31.19010742757832
2020-01-29,31.367705159762842
2020-01-30,31.593505485831688
2020-01-31,31.87640353495077
2020-02-01,32.10237857770122
2020-02-02,32.34727753095883
2020-02-03,32.60826001461461
2020-02-04,33.06798397253483
2020-02-05,33.373967503024616
2020-02-06,33.70448999987304
2020-02-07,34.06512203354175
2020-02-08,34.33905771007201
2020-02-09,34.599968642381846
2020-02-10,34.843505013570265
2020-02-11,35.25152136629374
2020-02-12,35.471461788734814
2020-02-13,35.682267046423284
2020-02-14,35.890892977799695
2020-02-15,35.982614217993564
2020-02-16,36.033833141596965
2020-02-17,36.04352066772531
2020-02-18,36.19736810070333
2020-02-19,36.14708655006159
2020-02-20,36.076218636050434
2020-02-21,35.99655418202711
2020-02-22,35.79832650536103
2020-02-23,35.56291184194632
2020-02-24,35.29416122028803
2020-02-25,35.182446590755355
2020-02-26,34.883860278293184
2020-02-27,34.5859348178708
2020-02-28,34.303976996925805
2020-02-29,33.93119455707864
2020-03-01,33.551339604345706
2020-03-02,33.16999919650626
2020-03-03,32.97861567920183
2020-03-04,32.63367620366013
2020-03-05,32.32243844474523
2020-03-06,32.05928590459175
2020-03-07,31.73589043407989
2020-03-08,31.433904847566666
2020-03-09,31.156314608139102
2020-03-10,31.091529390241206
2020-03-11,30.89265196532347
2020-03-12,30.743289275506474
2020-03-13,30.653996819974598
2020-03-14,30.512531680548825
2020-03-15,30.396634772581926
2020-03-16,30.305469086005342
2020-03-17,30.42379264504424
2020-03-18,30.401301740607167
2020-03-19,30.418507641998747
2020-03-20,30.48323652706111
2020-03-21,30.48092687556361
2020-03-22,30.48744415665468
2020-03-23,30.500539159165506
2020-03-24,30.7040286198177
2020-03-25,30.747133966324487
2020-03-26,30.810341966009638
2020-03-27,30.901877900015823
2020-03-28,30.907966653999082
2020-03-29,30.905602928727518
2020-03-30,30.89395847423874
2020-03-31,31.05850669134668
2020-04-01,31.05030218884137
2020-04-02,31.051780888479172
2020-04-03,31.07317307718573
2020-04-04,31.002706504045378
2020-04-05,30.91932231215876
2020-04-06,30.824033132767358
2020-04-07,30.90400490899764
2020-04-08,30.8118010302735
2020-04-09,30.73115510812279
2020-04-10,30.673365261979058
2020-04-11,30.619472224149277
2020-04-12,30.55701887705039
2020-04-13,30.48737039061152
2020-04-14,30.597825741263584
2020-04-15,30.540883466481688
2020-04-16,30.500041951238206
2020-04-17,30.48622594131662
2020-04-18,30.38801528181548
2020-04-19,30.284397220861806
2020-04-20,30.176169858788516
2020-04-21,30.250076327451495
2020-04-22,30.158106130139686
2020-04-23,30.083327725599922
2020-04-24,30.036342954051936
2020-04-25,29.90553837356022
2020-04-26,29.76985411088316
2020-04-27,29.63019728566785
2020-04-28,29.673579299435612
2020-04-29,29.552413361023664
2020-04-30,29.45033650671542
2020-05-01,29.37864711280115
2020-05-02,29.22653357886678
2020-05-03,29.073815584354712
2020-05-04,28.92232593699804
2020-05-05,28.96001339367179
2020-05-06,28.840204008132815
2020-05-07,28.747386502039454
2020-05-08,28.6936139108444
2020-05-09,28.568698412483865
2020-05-10,28.45292190789262
2020-05-11,28.348391438688356
2020-05-12,28.44312075618405
2020-05-13,28.39027636765141
2020-05-14,28.373954141670062
2020-05-15,28.405579105579346
2020-05-16,28.37410550872058
2020-05-17,28.35873966567867
2020-05-18,28.360314391319196
2020-05-19,28.56539585807254
2020-05-20,28.625560522468785
2020-05-21,28.723207349556358
2020-05-22,28.867996966807283
2020-05-23,28.947093702189466
2020-05-24,29.037931818017395
2020-05-25,29.139633502667657
2020-05-26,29.437158191563874
2020-05-27,29.580619634017726
2020-05-28,29.751134769690246
2020-05-29,29.95729498188421
2020-05-30,30.085434750071652
2020-05-31,30.21241824085845
2020-06-01,30.337070809587345
2020-06-02,30.644334593880174
2020-06-03,30.784584436513406
2020-06-04,30.939468237895007
2020-06-05,31.11836255589385
2020-06-06,31.208618931947427
2020-06-07,31.288322130954604
2020-06-08,31.357688087438035
2020-06-09,31.60318170666372
2020-06-10,31.676791843454247
2020-06-11,31.76182872979912
2020-06-12,31.869335890413506
2020-06-13,31.888293260985986
2020-06-14,31.89833391037809
2020-06-15,31.901103315419295
2020-06-16,32.084342401893316
2020-06-17,32.12375233832915
2020-06-18,32.18090854285008
2020-06-19,32.26751377479876
2020-06-20,32.272970250664336
2020-06-21,32.2770920253769
2020-06-22,32.281466896633226
2020-06-23,32.47354887170986
2020-06-24,32.50591909108382
2020-06-25,32.56208071816633
2020-06-26,32.65287973498121
2020-06-27,32.66672792757776
2020-06-28,32.68234971560828
2020-06-29,32.70018073701552
2020-06-30,32.906498106351464
2020-07-01,32.95271910083611
2020-07-02,33.02123265829918
2020-07-03,33.12185455023675
2020-07-04,33.14208151755234
2020-07-05,33.159865136673545
2020-07-06,33.17503257526566
2020-07-07,33.37343356059703
2020-07-08,33.40624989179109
2020-07-09,33.45583164078682
2020-07-10,33.53215085475017
2020-07-11,33.52304818539017
2020-07-12,33.506993532892295
2020-07-13,33.484488354184265
2020-07-14,33.64218960275129
2020-07-15,33.63219240775484
2020-07-16,33.637836520960974
2020-07-17,33.67012830685593
2020-07-18,33.6179547125605
2020-07-19,33.56081133335904
2020-07-20,33.50017323667718
2020-07-21,33.62358947879995
2020-07-22,33.58393931364366
2020-07-23,33.56521591127852
2020-07-24,33.57893002494639
2020-07-25,33.51431056137438
2020-07-26,33.45102452844406
2020-07-27,33.390545211807435
2020-07-28,33.520249529619704
2020-07-29,33.49268240695381
2020-07-30,33.49135366366422
2020-07-31,33.52715937605183
2020-08-01,33.488604050596834
